"","site","bbspecies","landscape","mean","sd"
"1","ZHUA","B.lapidarius","U",0.388508684970152,0.201302499315731
"2","ZHUB","B.lapidarius","U",0.454469529469359,0.332548205265756
"3","ZHUC","B.lapidarius","U",0.376805416522586,0.250073571417715
"4","ZHRD","B.lapidarius","R",0.396136794684312,0.348153543733829
"5","ZHRE","B.lapidarius","R",0.44847817655259,0.298642466990474
"6","ZHRF","B.lapidarius","R",0.366694449346084,0.295697526066865
"7","BEUA","B.lapidarius","U",0.574692644699843,0.0437787863885729
"8","BEUB","B.lapidarius","U",0.478041597547264,0.331044872222171
"9","BEUC","B.lapidarius","U",0.40254132331245,0.21508119910647
"10","BERD","B.lapidarius","R",0.0493234347315185,0.0798106977486485
"11","BSUA","B.lapidarius","U",0.52806614736872,0.26898046297009
"12","BSUB","B.lapidarius","U",0.352849284352531,0.278693244109921
"13","BSUC","B.lapidarius","U",0.315512150886606,0.231158081024207
"14","BSRD","B.lapidarius","R",0.0708747845411613,0.110136603835887
"15","BSRE","B.lapidarius","R",0.222821894247303,0.239802435458461
"16","BSRF","B.lapidarius","R",0.0468112364245579,0.139553508863036
"17","ZHUA","B.pascuorum","U",0.415561210680166,0.357245295120983
"18","ZHUB","B.pascuorum","U",0.484934456020267,0.335630539502031
"19","ZHUC","B.pascuorum","U",0.402411262438159,0.262233136054873
"20","ZHRD","B.pascuorum","R",0.35037048264605,0.322609515169301
"21","ZHRE","B.pascuorum","R",0.215194658819329,0.236331935866689
"22","ZHRF","B.pascuorum","R",0.180850055131599,0.294015540855029
"23","BEUA","B.pascuorum","U",0.381422192390966,0.342356400901664
"24","BEUB","B.pascuorum","U",0.603191923921031,0.295432460648028
"25","BEUC","B.pascuorum","U",0.13214092822581,0.148170881854239
"26","BERD","B.pascuorum","R",0.1076348095238,0.226395433121181
"27","BSUA","B.pascuorum","U",0.356776873206793,0.335158051633234
"28","BSUB","B.pascuorum","U",0.376575061883819,0.34714236310165
"29","BSUC","B.pascuorum","U",0.287952082452008,0.272792289416761
"30","BSRD","B.pascuorum","R",0.0417894158556249,0.106179568945624
"31","BSRE","B.pascuorum","R",0.0145109108388462,0.0589931934296241
"32","BSRF","B.pascuorum","R",0.180700908730941,0.203692328345213
