"","site","mean.lapi","sd.lapi"
"1","ZHUA",0.388508684970152,0.201302499315731
"2","ZHUB",0.454469529469359,0.332548205265756
"3","ZHUC",0.376805416522586,0.250073571417715
"4","ZHRD",0.396136794684312,0.348153543733829
"5","ZHRE",0.44847817655259,0.298642466990474
"6","ZHRF",0.366694449346084,0.295697526066865
"7","BEUA",0.574692644699843,0.0437787863885729
"8","BEUB",0.478041597547264,0.331044872222171
"9","BEUC",0.40254132331245,0.21508119910647
"10","BERD",0.0493234347315185,0.0798106977486485
"11","BSUA",0.52806614736872,0.26898046297009
"12","BSUB",0.352849284352531,0.278693244109921
"13","BSUC",0.315512150886606,0.231158081024207
"14","BSRD",0.0708747845411613,0.110136603835887
"15","BSRE",0.222821894247303,0.239802435458461
"16","BSRF",0.0468112364245579,0.139553508863036
