"","site","mean.pasc","sd.pasc"
"1","ZHUA",0.415561210680166,0.357245295120983
"2","ZHUB",0.484934456020267,0.335630539502031
"3","ZHUC",0.402411262438159,0.262233136054873
"4","ZHRD",0.35037048264605,0.322609515169301
"5","ZHRE",0.215194658819329,0.236331935866689
"6","ZHRF",0.180850055131599,0.294015540855029
"7","BEUA",0.381422192390966,0.342356400901664
"8","BEUB",0.603191923921031,0.295432460648028
"9","BEUC",0.13214092822581,0.148170881854239
"10","BERD",0.1076348095238,0.226395433121181
"11","BSUA",0.356776873206793,0.335158051633234
"12","BSUB",0.376575061883819,0.34714236310165
"13","BSUC",0.287952082452008,0.272792289416761
"14","BSRD",0.0417894158556249,0.106179568945624
"15","BSRE",0.0145109108388462,0.0589931934296241
"16","BSRF",0.180700908730941,0.203692328345213
